empresa_estacao,COD_AREA,COD_UF,UF,cidade,COD_IBGE,situacao,TCN_2G,TCN_3G,TCN_4G,TCN_5G
TIM,44,41,Paraná,Lobato,4113601,Licenciada,1,1,1,null
VIVO,37,31,Minas Gerais,Carmo da Mata,3114006,Licenciada,1,1,1,null
CLARO,82,27,Alagoas,Quebrangulo,2707602,Licenciada,null,1,1,null
TIM,15,35,São Paulo,Taquarivaí,3553856,Licenciada,1,1,1,1
VIVO,91,15,Pará,Primavera,1506104,Licenciada,1,1,3,null
VIVO,31,31,Minas Gerais,Ribeirão das Neves,3154606,Licenciada,13,19,35,11
VIVO,99,21,Maranhão,Timbiras,2112100,Licenciada,null,1,1,null
TIM,31,31,Minas Gerais,Santana do Riacho,3159001,Licenciada,1,null,2,null
VIVO,35,31,Minas Gerais,Perdões,3149903,Licenciada,4,4,5,1
TIM,13,35,São Paulo,Peruíbe,3537602,Licenciada,16,14,15,4
TIM,13,35,São Paulo,Cubatão,3513504,Licenciada,19,19,18,null
UNIFIQUE TELECOMUNICACOES S/A,47,42,Santa Catarina,Presidente Nereu,4214102,Licenciada,null,null,1,1
CLARO,46,41,Paraná,Bom Jesus do Sul,4103156,Licenciada,1,1,1,null
VIVO,88,23,Ceará,Crateús,2304103,Licenciada,3,14,13,null
TIM,11,35,São Paulo,Francisco Morato,3516309,Licenciada,3,5,17,4
TIM,55,43,Rio Grande do Sul,Ivorá,4310751,Licenciada,2,2,2,null
VIVO,64,52,Goiás,Anhanguera,5201207,Licenciada,1,null,1,null
CLARO,74,29,Bahia,Tapiramutá,2931301,Licenciada,1,1,1,null
VIVO,69,11,Rondônia,Nova Mamoré,1100338,Licenciada,1,1,1,null
TIM,32,31,Minas Gerais,Liberdade,3138500,Licenciada,null,1,1,null
TIM,31,31,Minas Gerais,Ipatinga,3131307,Licenciada,22,13,25,12
VIVO,45,41,Paraná,Marechal Cândido Rondon,4114609,Licenciada,2,2,2,null
TIM,43,41,Paraná,Jacarezinho,4111803,Licenciada,4,4,7,null
TIM,31,31,Minas Gerais,Raposos,3153905,Licenciada,1,1,1,null
TIM,45,41,Paraná,Três Barras do Paraná,4127858,Licenciada,1,1,1,null
TIM,48,42,Santa Catarina,Urussanga,4219002,Licenciada,2,2,3,1
VIVO,99,21,Maranhão,Governador Archer,2104503,Licenciada,null,1,1,null
TIM,46,41,Paraná,Clevelândia,4105706,Licenciada,1,2,3,1
VIVO,79,28,Sergipe,Macambira,2803708,Licenciada,1,2,2,null
VIVO,43,41,Paraná,Andirá,4101101,Licenciada,2,1,1,null
TIM,66,51,Mato Grosso,Juína,5105150,Licenciada,2,1,3,null
VIVO,48,42,Santa Catarina,Braço do Norte,4202800,Licenciada,1,1,1,null
TIM,84,24,Rio Grande do Norte,São Pedro,2412708,Licenciada,null,1,1,null
VIVO,77,29,Bahia,Iuiu,2917334,Licenciada,null,1,1,null
TIM,37,31,Minas Gerais,Perdigão,3149705,Licenciada,2,1,1,null
VIVO,62,52,Goiás,Jaraguá,5211800,Licenciada,1,2,8,2
CLARO,63,17,Tocantins,Tabocão,1708254,Licenciada,1,1,1,null
TIM,48,42,Santa Catarina,Praia Grande,4213807,Licenciada,2,1,1,null
CLARO,32,31,Minas Gerais,Santana do Garambéu,3158706,Licenciada,1,1,1,null
CLARO,89,22,Piauí,Manoel Emídio,2205904,Licenciada,1,1,1,null
TIM,79,28,Sergipe,Japaratuba,2803302,Licenciada,2,1,1,null
TIM,35,31,Minas Gerais,Dom Viçoso,3122801,Licenciada,null,1,1,null
CLARO,14,35,São Paulo,Tejupá,3554201,Licenciada,1,2,2,null
TIM,51,43,Rio Grande do Sul,Portão,4314803,Licenciada,2,2,3,null
TIM,48,42,Santa Catarina,Anitápolis,4201109,Licenciada,null,1,1,null
CLARO,94,15,Pará,Bannach,1501253,Licenciada,null,1,null,null
CLARO,74,29,Bahia,Barra,2902708,Licenciada,1,2,2,null
TIM,35,31,Minas Gerais,Jacutinga,3134905,Licenciada,2,1,2,null
TIM,47,42,Santa Catarina,Barra Velha,4202107,Licenciada,6,4,10,4
VIVO,15,35,São Paulo,Pilar do Sul,3537909,Licenciada,1,4,4,null
